-0.4042531916833197 -0.3411407784694946-0.08306731973913538i -0.3431894900283849-0.1207713322887038i -0.2573874846629563-0.1709996740202076i
-0.3411407784694946+0.08306731973913538i -0.3391797617296752 -0.03343004831810969+0.01038353121608725i -0.01162821891673004+0.006803511113731025i
-0.3431894900283849+0.1207713322887038i -0.03343004831810969-0.01038353121608725i -0.3627776582614817 -0.005006239506538664-0.01790148786867976i
-0.2573874846629563+0.1709996740202076i -0.01162821891673004-0.006803511113731025i -0.005006239506538664+0.01790148786867976i -0.020225474291131
-0.2573025813129199 0.2959936657458679+0.03289446990072944i 0.2097171905736248+0.08807201635040225i -0.2484374236908537-0.1384015462353081i
0.2959936657458679-0.03289446990072944i -0.3914539305664254 -0.0003403910514714632+0.01059307848287706i 0.001885838200132375-0.01311621645607828i
0.2097171905736248-0.08807201635040225i -0.0003403910514714632-0.01059307848287706i -0.2363058862957417 -0.003616988724762713+0.009452251947763037i
-0.2484374236908537+0.1384015462353081i 0.001885838200132375+0.01311621645607828i -0.003616988724762713-0.009452251947763037i -0.01957382023509724
-0.292477720949207 -0.04608168745193209+0.2826231227011057i -0.1252865426694419+0.2587770173094745i 0.2220473223165395+0.1537032078888501i
-0.04608168745193209-0.2826231227011057i -0.277798992969163 -0.02279646017780782-0.003052681439185259i -0.0002790786547861922+0.01347121808916362i
-0.1252865426694419-0.2587770173094745i -0.02279646017780782+0.003052681439185259i -0.280054687331751 -0.003818018224420103+0.01178664188651945i
0.2220473223165395-0.1537032078888501i -0.0002790786547861922-0.01347121808916362i -0.003818018224420103-0.01178664188651945i 0.0003950772649238665
-0.4070212647919523 0.08625015993879441-0.3636799901908379i 0.08537519526885895-0.3425183716263941i 0.2665534662031601+0.1424665079727024i
0.08625015993879441+0.3636799901908379i -0.3417367920343117 -0.00502812190568389+0.0121503396832143i -0.01823401920853584+0.01037941795683377i
0.08537519526885895+0.3425183716263941i -0.00502812190568389-0.0121503396832143i -0.3040027179857258 0.007422104028579306+0.01623088944380259i
0.2665534662031601-0.1424665079727024i -0.01823401920853584-0.01037941795683377i 0.007422104028579306-0.01623088944380259i -1.753626776484549e-10
-1.279411385834575 0.03160930086477104-0.02176081710355174i -0.06907080249092046+0.03630079043700973i 0.001074116006806111-0.00204322892366334i
0.03160930086477104+0.02176081710355174i 0.01665487348173634 0.4290267929282853+0.05571363121413338i -0.01138883261517318+0.005839420100432978i
-0.06907080249092046-0.03630079043700973i 0.4290267929282853-0.05571363121413338i 0.0130965659068515 0.02128487769828287-0.01497238194771116i
0.001074116006806111+0.00204322892366334i -0.01138883261517318-0.005839420100432978i 0.02128487769828287+0.01497238194771116i -0.1264958334273159
0.01775967109361665 -0.0002411470931290865+0.0004040680863713883i -0.0003032757341773761+0.0002280579765263442i -0.0005056390562127105-0.0005352908199453925i
-0.0002411470931290865-0.0004040680863713883i 0.01052512677589416 -0.005423102228268046-0.00221630836972482i 0.003096027715768663-0.01093894136073398i
-0.0003032757341773761-0.0002280579765263442i -0.005423102228268046+0.00221630836972482i 0.01306586036981179 -0.001026010950713278-0.009110054768163079i
-0.0005056390562127105+0.0005352908199453925i 0.003096027715768663+0.01093894136073398i -0.001026010950713278+0.009110054768163079i -3.174057779534885e-12
