-7.1357e-10 2.7488e-17+2.0713e-17i -2.1927e-17+2.5162e-17i -4.0422e-14+2.5423e-14i
2.7488e-17-2.0713e-17i -1.2223e-08 5.4012e-17+4.4416e-17i -2.0178e-16-3.8646e-18i
-2.1927e-17-2.5162e-17i 5.4012e-17-4.4416e-17i -1.2223e-08 -5.9871e-17-7.3693e-17i
-4.0422e-14-2.5423e-14i -2.0178e-16+3.8646e-18i -5.9871e-17+7.3693e-17i -0.72249
-0.72249 2.5881e-17+1.6207e-16i -5.5478e-17-6.6872e-17i -5.9376e-14+2.4539e-14i
2.5881e-17-1.6207e-16i -1.2223e-08 -1.4442e-16+1.9355e-17i -1.2524e-17-5.1917e-18i
-5.5478e-17+6.6872e-17i -1.4442e-16-1.9355e-17i -1.2223e-08 1.1288e-16-4.164e-18i
-5.9376e-14-2.4539e-14i -1.2524e-17+5.1917e-18i 1.1288e-16+4.164e-18i -7.1357e-10
-0.13221 2.3469e-16-5.1272e-17i 3.2069e-17-1.4697e-16i 0.3613+4.3596e-14i
2.3469e-16+5.1272e-17i -0.229 -4.0206e-17+1.8105e-19i -1.6181e-16+1.225e-16i
3.2069e-17+1.4697e-16i -4.0206e-17-1.8105e-19i -0.229 -1.8166e-16+2.8873e-17i
0.3613-4.3596e-14i -1.6181e-16-1.225e-16i -1.8166e-16-2.8873e-17i -0.13221
-0.13221 -2.0808e-16-2.8436e-17i -1.5654e-16+6.8131e-18i -0.3613+4.445e-14i
-2.0808e-16+2.8436e-17i -0.229 -1.6065e-17+1.2386e-18i -2.2927e-16-7.4215e-17i
-1.5654e-16-6.8131e-18i -1.6065e-17-1.2386e-18i -0.229 -1.9066e-16+1.4813e-16i
-0.3613-4.445e-14i -2.2927e-16+7.4215e-17i -1.9066e-16-1.4813e-16i -0.13221
-0.13229 -2.2859e-17+4.3042e-16i -1.0533e-16+7.7509e-17i -9.139e-14+0.3613i
-2.2859e-17-4.3042e-16i -0.22908 -3.0148e-17+2.5607e-17i -3.5561e-16-1.2453e-16i
-1.0533e-16-7.7509e-17i -3.0148e-17-2.5607e-17i -0.22908 9.0864e-17-1.5346e-16i
-9.139e-14-0.3613i -3.5561e-16+1.2453e-16i 9.0864e-17+1.5346e-16i -0.13229
-0.13229 -6.9937e-17-6.2425e-17i -5.732e-17-5.1114e-17i -9.2023e-14-0.3613i
-6.9937e-17+6.2425e-17i -0.22908 -1.084e-16+9.3602e-18i -1.0608e-16-6.2516e-17i
-5.732e-17+5.1114e-17i -1.084e-16-9.3602e-18i -0.22908 5.0605e-17-1.125e-16i
-9.2023e-14+0.3613i -1.0608e-16+6.2516e-17i 5.0605e-17+1.125e-16i -0.13229
