-32.25044696770905 -0.2968397209154916+2.448943937118072i
-0.2968397209154916-2.448943937118072i -19.22788366423311
-36.59432199512698 0.009131190489714272+1.893567212925351i
0.009131190489714272-1.893567212925351i -21.08083700580117
-30.45178880122301 -0.135176319464692+2.015863573986857i
-0.135176319464692-2.015863573986857i -16.0292361623483
-35.59267834015756 0.1499809409829177+1.500024720282443i
0.1499809409829177-1.500024720282443i -18.33494145579261
-6.571634759345473 0.156822909612363+0.9645373755878848i
0.156822909612363-0.9645373755878848i 2.424727413254626
-3.476268358468412 0.3632093920440088+0.04036487034889831i
0.3632093920440088-0.04036487034889831i 1.465351022950794
1.522145578647592 -0.2563492688368463+0.8809386067723034i
-0.2563492688368463-0.8809386067723034i 9.085193774120981
4.747167721963883 -0.06147556539170755-0.0863618241761825i
-0.06147556539170755+0.0863618241761825i 8.053126908240394
23.05296450376225 -0.1293935856850987-1.196333137045886i
-0.1293935856850987+1.196333137045886i 5.16892119883313
16.45788848000968 0.09577835094865141-0.01734965754564671i
0.09577835094865141+0.01734965754564671i 4.844723480680672
13.59016493779426 0.431173587034373-0.722368906106078i
0.431173587034373+0.722368906106078i -4.463626480807609
6.851519555439024 0.07043914722101656+0.5256984046667549i
0.07043914722101656-0.5256984046667549i -4.741007797549359
-1.445415183634357 0.5849199723603761-0.4053527813803043i
0.5849199723603761+0.4053527813803043i -0.3846594779161081
8.670407199090032 0.5460055554202414-0.6616556840713431i
0.5460055554202414+0.6616556840713431i 10.91768230021029
-3.965814902489315 -0.01062934447133919+0.0554752373451451i
-0.01062934447133919-0.0554752373451451i -4.380187716039246
6.280301372422981 -0.07402048448869206-0.2414274578746819i
-0.07402048448869206+0.2414274578746819i 6.855210848598729
1.342025648034518 -0.7401983908028164+0.3656802924295625i
-0.7401983908028164-0.3656802924295625i 6.709550547388451
0.18666654242595 -0.532664457599814-0.03817917842795452i
-0.532664457599814+0.03817917842795452i 3.273377829207613
0.6964527674686538 -0.1153309652468506+0.5019262221159525i
-0.1153309652468506-0.5019262221159525i 5.064325745506742
0.884242620928669 -0.06355627106621986+0.4476825648542815i
-0.06355627106621986-0.4476825648542815i 2.183842918134314
-5.436562590617852 0.1672043115191897+1.602529189282911i
0.1672043115191897-1.602529189282911i -2.573354225955144
6.264727079617432 0.09343426632593453+0.0352393886684137i
0.09343426632593453-0.0352393886684137i -1.775306985152827
-3.447837442521759 0.1186578701598522+0.4915205348950205i
0.1186578701598522-0.4915205348950205i 2.842723355658193
9.175714344979458 0.08933376256084571-0.3304957705073293i
0.08933376256084571+0.3304957705073293i 3.633978138207032
12.46778501779407 0.1965072548742143-1.181080166644625i
0.1965072548742143+1.181080166644625i 7.966792853418165
6.981053815804867 -0.3496047585364546-0.3435292091402409i
-0.3496047585364546+0.3435292091402409i -1.213900263536179
10.91472241085392 0.4972887950420519+1.01766148432078i
0.4972887950420519-1.01766148432078i 4.878849236199606
5.571737951586531 0.5380241214265766+1.788249446858852i
0.5380241214265766-1.788249446858852i -4.348137992325889
6.394255439355058 0.2293606074628515-0.8586265814758084i
0.2293606074628515+0.8586265814758084i 3.428242088446283
3.231687886584142 -0.03541890761883145-0.07567676726573117i
-0.03541890761883145+0.07567676726573117i 7.562570885315791
8.291568519693524 -0.06020468645380025-1.523195524549941i
-0.06020468645380025+1.523195524549941i -3.549271651371577
6.050807319446487 -0.2833064430985733+0.004271212623128505i
-0.2833064430985733-0.004271212623128505i 0.5795639828438887
1.20423071601848 -0.1415799451675687-1.456677025237294i
-0.1415799451675687+1.456677025237294i -3.948995780054077
-2.945530316291024 -0.04274621765025197-1.3768233034639i
-0.04274621765025197+1.3768233034639i -4.268265790626342
1.672965211526114 -0.4875144695125233-3.231030708991853i
-0.4875144695125233+3.231030708991853i 6.316032679564364
-4.525414149545917 -0.4159047498297291-3.489115274246183i
-0.4159047498297291+3.489115274246183i 5.431014287696823
