-36.82887738113538 -0.3881117642625169+0.3938494586711605i
-0.3881117642625169-0.3938494586711605i -37.72110838564315
-36.18267456026081 -0.1231880351394049+0.2357425197532196i
-0.1231880351394049-0.2357425197532196i -35.51674590761871
-36.18267460793744 -0.1240819321754361+0.2327516950891615i
-0.1240819321754361-0.2327516950891615i -35.51674589795253
-36.75374860513156 0.140841796953663+0.07464475616829497i
0.140841796953663-0.07464475616829497i -33.32558523079569
6.374719719671857 0.4007818799272054-0.003446621918605808i
0.4007818799272054+0.003446621918605808i 1.30368778161803
6.687301296772531 -0.0154749811309658-0.004427367537520809i
-0.0154749811309658+0.004427367537520809i 1.301817694932765
6.613524728063341 -0.1720598239358441+0.0006790045284557916i
-0.1720598239358441-0.0006790045284557916i 0.2872617509740543
6.926106305137315 0.03256280431185842-0.0003017410895949591i
0.03256280431185842+0.0003017410895949591i 0.2853916642927104
6.374719381239447 0.01413716482685764-0.4067842528712874i
0.01413716482685764+0.4067842528712874i 1.303687916949986
6.687300468721666 0.003420740981362145+0.01356956015499667i
0.003420740981362145-0.01356956015499667i 1.301817724774714
6.613525795479891 0.01250929194931758+0.06062762892642366i
0.01250929194931758-0.06062762892642366i 0.2872617245342
6.926106882945102 0.001792868104686329-0.1398980473705265i
0.001792868104686329+0.1398980473705265i 0.2853915323597675
6.37471837382607 0.4056649753918163+0.003280229613305248i
0.4056649753918163-0.003280229613305248i 1.303687462775361
6.613524622777889 -0.1693484115333352+0.00237618638012153i
-0.1693484115333352-0.00237618638012153i 0.287261608216388
6.687299977343202 -0.01000451789022153-0.003919736131439813i
-0.01000451789022153+0.003919736131439813i 1.30181723794306
6.926106226269045 0.03586158450972083-0.004823779362890467i
0.03586158450972083+0.004823779362890467i 0.2853913833883301
-1.457069608610329 0.01164407981086785-0.007546727186104276i
0.01164407981086785+0.007546727186104276i 7.998202095282812
-2.241204283153421 -0.004893449904014356-0.007552809575136306i
-0.004893449904014356+0.007552809575136306i 7.952124270066695
-2.241204509051899 -0.005841526154791929-0.0005057523912530884i
-0.005841526154791929+0.0005057523912530884i 7.952123577554588
-2.070634720302105 -0.02237905587364438-0.0005118347820367809i
-0.02237905587364438+0.0005118347820367809i 8.001361430212764
6.494324502353552 0.01111532824597947-0.01563487753692325i
0.01111532824597947+0.01563487753692325i 7.975820948987224
6.48852599785051 0.01295812611187646+0.01627837933289636i
0.01295812611187646-0.01627837933289636i 7.976110056251826
6.488525567654976 -0.01639497402118681-0.01547588658526508i
-0.01639497402118681+0.01547588658526508i 7.976111852605491
6.482727063160447 -0.01455217614478831+0.01643737027743761i
-0.01455217614478831-0.01643737027743761i 7.976400959876605
6.37471981240085 0.001628990228008512-0.4073801923726168i
0.001628990228008512+0.4073801923726168i 1.303688006589507
6.613524938402969 0.00127890336688733+0.06207053443083494i
0.00127890336688733-0.06207053443083494i 0.2872616477546777
6.687300613281862 -0.001165278228704905+0.01412525422979454i
-0.001165278228704905-0.01412525422979454i 1.301818251404304
6.926105739268667 -0.001515365088092908-0.137303508270552i
-0.001515365088092908+0.137303508270552i 0.2853918925703812
6.494324186821644 0.01410278488456312-0.01412858078585345i
0.01410278488456312+0.01412858078585345i 7.975820989932858
6.48852505262082 -0.01376822579976974-0.01314175277827843i
-0.01376822579976974+0.01314175277827843i 7.97611106290026
6.488525686903953 0.01359322979009595+0.0159902967475425i
0.01359322979009595-0.0159902967475425i 7.976111493457906
6.482726552693708 -0.01427778090081249+0.01697712475753091i
-0.01427778090081249-0.01697712475753091i 7.976401566428598
-1.457069946188941 -0.01029803756357199-0.002873837101859516i
-0.01029803756357199+0.002873837101859516i 7.998202343209599
-2.241204760718004 -0.001424411590865907+0.005524494515498789i
-0.001424411590865907-0.005524494515498789i 7.952125589150165
-2.241204478755544 -0.006994214013369903+0.006167240221793126i
-0.006994214013369903-0.006167240221793126i 7.952123755913878
-2.070634830114048 0.001879411961464085+0.01456557184213627i
0.001879411961464085-0.01456557184213627i 8.001362679782776
