-0.83418 5.0084e-09+1.0042e-09i -1.6438e-10+7.2641e-09i 4.7216e-09-7.2166e-10i
5.0084e-09-1.0042e-09i -0.045957 0.72878+2.6145e-09i 2.8603e-09+7.7094e-09i
-1.6438e-10-7.2641e-09i 0.72878-2.6145e-09i -0.045957 -2.1104e-09-3.811e-09i
4.7216e-09+7.2166e-10i 2.8603e-09-7.7094e-09i -2.1104e-09+3.811e-09i -0.77633
0.11471 5.0088e-09+1.0042e-09i -1.6402e-10+7.2641e-09i 4.7216e-09-7.2165e-10i
5.0088e-09-1.0042e-09i -0.1225 -0.23502+2.6145e-09i 2.8599e-09+7.7094e-09i
-1.6402e-10-7.2641e-09i -0.23502-2.6145e-09i -0.1225 -2.1107e-09-3.811e-09i
4.7216e-09+7.2165e-10i 2.8599e-09-7.7094e-09i -2.1107e-09+3.811e-09i 0.053287
-0.085697 0.047947-2.4758e-09i 0.047947-5.0864e-09i -1.6532e-09-3.415e-09i
0.047947+2.4758e-09i 0.020693 0.10345+6.2902e-10i -0.044832+2.2981e-09i
0.047947+5.0864e-09i 0.10345-6.2902e-10i 0.020693 -0.044832+1.7561e-09i
-1.6532e-09+3.415e-09i -0.044832-2.2981e-09i -0.044832-1.7561e-09i -0.051422
-0.085697 -0.047947-2.4758e-09i -0.047947-5.0864e-09i -1.6533e-09-3.4152e-09i
-0.047947+2.4758e-09i 0.020693 0.10345+6.2902e-10i 0.044832+2.2981e-09i
-0.047947+5.0864e-09i 0.10345-6.2902e-10i 0.020693 0.044832+1.7561e-09i
-1.6533e-09+3.4152e-09i 0.044832-2.2981e-09i 0.044832-1.7561e-09i -0.051422
-0.085697 -3.8091e-09-0.047947i -5.7823e-09-0.047947i -3.0684e-09+4.1369e-09i
-3.8091e-09+0.047947i 0.020693 0.10345-3.2436e-09i 3.3306e-09+0.044832i
-5.7823e-09+0.047947i 0.10345+3.2436e-09i 0.020693 -6.115e-09+0.044832i
-3.0684e-09-4.1369e-09i 3.3306e-09-0.044832i -6.115e-09-0.044832i -0.051422
-0.085697 -3.8091e-09+0.047947i -5.7823e-09+0.047947i -3.0684e-09+4.1367e-09i
-3.8091e-09-0.047947i 0.020693 0.10345-3.2436e-09i 3.3306e-09-0.044832i
-5.7823e-09-0.047947i 0.10345+3.2436e-09i 0.020693 -6.115e-09-0.044832i
-3.0684e-09-4.1367e-09i 3.3306e-09+0.044832i -6.115e-09+0.044832i -0.051422
