-1.180468551244663 -0.2745975993691873+0.5291447226977842i
-0.2745975993691873-0.5291447226977842i -0.4743884775726606
-0.1364964539862789 -0.2745976003636723+0.2745975993048202i
-0.2745976003636723-0.2745975993048202i -0.9496698657587943
-0.1364965194156406 5.433960201667045e-10+0.2545471233951924i
5.433960201667045e-10-0.2545471233951924i -0.9496699088810668
-0.001735875707593778 -4.513129067355047e-10+2.448677584214844e-12i
-4.513129067355047e-10-2.448677584214844e-12i -0.4743881309743981
-0.09042295991971645 0.5291447018516272-7.796076516083899e-09i
0.5291447018516272+7.796076516083899e-09i 0.2371993390753484
1.869172782327901e-07 3.095682753795717e-10+7.981372222685062e-11i
3.095682753795717e-10-7.981372222685062e-11i 1.52535965644782e-07
-0.0904229794070251 -0.02005049644753603-7.820001436587713e-09i
-0.02005049644753603+7.820001436587713e-09i 0.2371992106078266
1.674299911210305e-07 2.639524086386795e-11+5.590096408243137e-11i
2.639524086386795e-11-5.590096408243137e-11i 2.406830428216233e-08
-0.09034345920756362 8.218850032710614e-10-0.5291447143170398i
8.218850032710614e-10+0.5291447143170398i 0.2371813524707064
1.889483745543248e-07 3.570533617355803e-10-2.794453485232631e-10i
3.570533617355803e-10+2.794453485232631e-10i 1.267654814206579e-07
-0.09034344764779845 2.006929250348728e-10+0.02005048401796013i
2.006929250348728e-10-0.02005048401796013i 0.2371813292043571
2.005081595616461e-07 -2.641252466813234e-10+3.808563966823809e-11i
-2.641252466813234e-10-3.808563966823809e-11i 1.034989507328969e-07
-0.09042265931509122 0.529144722883482-5.406636644867612e-09i
0.529144722883482+5.406636644867612e-09i 0.2371993906786998
-0.09042268138513596 -0.02005047551211902-5.386267168112115e-09i
-0.02005047551211902+5.386267168112115e-09i 0.2371992835384578
1.587878340566296e-07 -3.308292646560243e-11-2.240463403253841e-11i
-3.308292646560243e-11+2.240463403253841e-11i 1.065392870575554e-07
1.367178079095553e-07 -4.126912263529518e-10-2.037995908651131e-12i
-4.126912263529518e-10+2.037995908651131e-12i -6.010924244985553e-10
0.1808468579404197 2.014525499997484e-08+1.452916073976361e-08i
2.014525499997484e-08-1.452916073976361e-08i -0.4743981322325928
-2.676250117307619e-08 -1.415544189691506e-08+2.77905726265259e-10i
-1.415544189691506e-08-2.77905726265259e-10i 3.942775301684665e-08
-1.560102828216939e-08 5.483495733120954e-10-8.721988531762394e-12i
5.483495733120954e-10+8.721988531762394e-12i 9.762357634818026e-08
2.803014946464313e-07 -1.345651171845327e-09-1.399784894006387e-10i
-1.345651171845327e-09+1.399784894006387e-10i 1.078326968772853e-07
-5.502083278714746e-07 -5.702663952457559e-09-4.116463991732614e-09i
-5.702663952457559e-09+4.116463991732614e-09i -1.16473805739685e-07
-3.941465468483384e-08 7.525239463968387e-11-1.663094902504478e-10i
7.525239463968387e-11+1.663094902504478e-10i 1.222933753522115e-07
-3.614147980010296e-08 1.386302110098947e-10-5.771006350807934e-10i
1.386302110098947e-10+5.771006350807934e-10i 8.504614428606841e-08
3.767900825314191e-07 -4.404638782057843e-10+4.816183083081364e-10i
-4.404638782057843e-10-4.816183083081364e-10i 1.90790564359656e-07
-0.09034376249046017 -0.2745976007807049-0.5291447214703287i
-0.2745976007807049+0.5291447214703287i 0.2371814950651716
-0.09034381377731558 -3.983848525639531e-10+9.108543682905652e-10i
-3.983848525639531e-10-9.108543682905652e-10i 0.2371814073496169
2.009006335674678e-07 -0.2745976005734629+4.254877373823646e-11i
-0.2745976005734629-4.254877373823646e-11i 1.521381024224829e-07
1.496137976450348e-07 -1.911470136543644e-10-0.02005047559393449i
-1.911470136543644e-10+0.02005047559393449i 6.442236788239147e-08
-5.011069378491982e-08 7.445810241060946e-09+1.641001405817589e-09i
7.445810241060946e-09-1.641001405817589e-09i -5.805209888721352e-08
4.852144220184854e-08 2.595011796089063e-10-4.893350409101126e-10i
2.595011796089063e-10+4.893350409101126e-10i -2.895911434946715e-08
7.036113157434609e-08 3.478066433813628e-10-1.322697855505236e-10i
3.478066433813628e-10+1.322697855505236e-10i 5.986688503821661e-08
2.668553791235534e-07 -4.816634437195601e-10+6.287983820021e-10i
-4.816634437195601e-10-6.287983820021e-10i 2.219826282188825e-07
0.1807276574596799 0.02005047635144-9.409212705641514e-09i
0.02005047635144+9.409212705641514e-09i -0.4743692712423205
-3.916900773428494e-05 0.02005049042035026+4.756673385452737e-09i
0.02005049042035026-4.756673385452737e-09i 7.179719843180984e-06
-3.91917831535803e-05 0.02005049626726632+1.13663658255469e-10i
0.02005049626726632-1.13663658255469e-10i 7.284767123027782e-06
3.941464712870328e-05 0.02005047792919696+1.596876303810985e-10i
0.02005047792919696-1.596876303810985e-10i -7.059296819944957e-06
